Trial,Alpha,K_Graph,LambdaRecon,NegHard,NegAdj,Method,Config,ARI,NMI,ACC
46,0.35,8,0.05,0.7,0.4,robust,robust_D,0.5290107510091224,0.6765825491532336,0.6880039091131199
47,0.3,6,0.0,0.7,0.3,mclust,mclust_A,0.13184931669873198,0.2569702101997872,0.46225262643537746
47,0.3,6,0.0,0.7,0.3,mclust,mclust_B,0.5613451982723544,0.5894531515909455,0.6899584656731004
47,0.3,6,0.0,0.7,0.3,robust,robust_C,0.46718124191061294,0.611170865776237,0.5954067920840459
47,0.3,6,0.0,0.7,0.3,robust,robust_D,0.5600632032120914,0.6849791192058098,0.7014414854629856
48,0.2,4,0.05,0.8,0.4,mclust,mclust_A,0.2734725891493685,0.35944289035547133,0.5775714634742243
48,0.2,4,0.05,0.8,0.4,mclust,mclust_B,0.5287742097945601,0.5387080247884356,0.681895919863181
48,0.2,4,0.05,0.8,0.4,robust,robust_C,0.4865874544527385,0.5840757559658749,0.6679697043733203
48,0.2,4,0.05,0.8,0.4,robust,robust_D,0.5003491841717571,0.6529156880619977,0.6823845590031762
49,0.2,4,0.05,0.85,0.3,mclust,mclust_A,0.10730792175740482,0.2390971159296247,0.4295138040557049
49,0.2,4,0.05,0.85,0.3,mclust,mclust_B,0.13468036551464127,0.256872261509327,0.46249694600537505
49,0.2,4,0.05,0.85,0.3,robust,robust_C,0.6861644153050959,0.6403293097295102,0.789396530662106
49,0.2,4,0.05,0.85,0.3,robust,robust_D,0.46359779811997853,0.6373664298841735,0.6506230149034937
50,0.2,6,0.05,0.8,0.5,mclust,mclust_A,0.13961893052580993,0.24264189171237377,0.48888345956511114
50,0.2,6,0.05,0.8,0.5,mclust,mclust_B,0.47705736552338834,0.5551545633104833,0.6503786953334962
50,0.2,6,0.05,0.8,0.5,robust,robust_C,0.4988995998996038,0.5864765177287297,0.638407036403616
50,0.2,6,0.05,0.8,0.5,robust,robust_D,0.5249686946356168,0.6730135121861245,0.6669924260933301
