npz	pca_dim	seed	score	upper_cluster	upper_purity	upper_recall	lower_cluster	lower_purity	lower_recall	both_cluster	both_purity	both_recall
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	11	0.3756010858631784	24	0.12749003984063745	0.7272727272727273	24	0.26693227091633465	0.8589743589743589	24	0.3944223107569721	0.8114754098360656
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	18	0.3745374136634187	10	0.1	0.7954545454545454	2	0.22672064777327935	0.717948717948718	2	0.22672064777327935	0.45901639344262296
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	7	0.37306360008286227	25	0.125	0.6363636363636364	25	0.29464285714285715	0.8461538461538461	25	0.41964285714285715	0.7704918032786885
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	19	0.37269238096077967	20	0.12658227848101267	0.6818181818181818	20	0.27848101265822783	0.8461538461538461	20	0.4050632911392405	0.7868852459016393
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	9	0.37250366430831566	14	0.1222707423580786	0.6363636363636364	14	0.28820960698689957	0.8461538461538461	14	0.4104803493449782	0.7704918032786885
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	1	0.37205472312044235	18	0.12096774193548387	0.6818181818181818	18	0.27419354838709675	0.8717948717948718	18	0.3951612903225806	0.8032786885245902
S2_Hpca_v2.augK2_d96_for_cluster.npz	64	11	0.37085887175864674	6	0.14937759336099585	0.8181818181818182	6	0.23236514522821577	0.717948717948718	6	0.3817427385892116	0.7540983606557377
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	4	0.3698550616276359	21	0.12658227848101267	0.6818181818181818	21	0.2742616033755274	0.8333333333333334	21	0.4008438818565401	0.7786885245901639
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	16	0.3695387636745941	10	0.12608695652173912	0.6590909090909091	10	0.2826086956521739	0.8333333333333334	10	0.40869565217391307	0.7704918032786885
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	13	0.36936481025659146	10	0.0935672514619883	0.7272727272727273	20	0.23170731707317074	0.7307692307692307	20	0.23170731707317074	0.4672131147540984
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	5	0.3693605945954805	20	0.125	0.6363636363636364	20	0.29017857142857145	0.8333333333333334	20	0.41517857142857145	0.7622950819672131
S2_Hpca_v2.augK2_d96_for_cluster.npz	50	1	0.36806153125566754	12	0.06581740976645435	0.7045454545454546	1	0.24369747899159663	0.7435897435897436	1	0.24369747899159663	0.47540983606557374
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	16	0.3679471081713234	1	0.09090909090909091	0.7272727272727273	0	0.23076923076923078	0.7307692307692307	0	0.23076923076923078	0.4672131147540984
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	64	6	0.36738291099428894	20	0.16990291262135923	0.7954545454545454	20	0.27184466019417475	0.717948717948718	20	0.441747572815534	0.7459016393442623
S2_Hpca_v2.augK2_d96_for_cluster.npz	50	13	0.3662279665722481	6	0.06088560885608856	0.75	14	0.23651452282157676	0.7307692307692307	14	0.23651452282157676	0.4672131147540984
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	12	0.3653817805527517	1	0.09142857142857143	0.7272727272727273	5	0.22857142857142856	0.717948717948718	5	0.22857142857142856	0.45901639344262296
S2_Hpca_v2.augK2_d96_for_cluster.npz	64	13	0.3652672065119738	21	0.1323529411764706	0.8181818181818182	21	0.22058823529411764	0.7692307692307693	21	0.35294117647058826	0.7868852459016393
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	6	0.3649809890325593	23	0.0903954802259887	0.7272727272727273	19	0.22857142857142856	0.717948717948718	19	0.22857142857142856	0.45901639344262296
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	19	0.36359427448375986	23	0.09510086455331412	0.75	25	0.22	0.7051282051282052	25	0.22	0.45081967213114754
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	1	0.3634769961002415	24	0.09631728045325778	0.7727272727272727	21	0.21774193548387097	0.6923076923076923	21	0.21774193548387097	0.4426229508196721
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	13	0.3629901099395035	14	0.12015503875968993	0.7045454545454546	14	0.2558139534883721	0.8461538461538461	14	0.375968992248062	0.7950819672131147
S2_Hpca_v2.augK2_d96_for_cluster.npz	64	19	0.3614033743136189	12	0.1296928327645051	0.8636363636363636	12	0.20819112627986347	0.782051282051282	12	0.3378839590443686	0.8114754098360656
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	9	0.3602298454227517	2	0.11301369863013698	0.75	18	0.21052631578947367	0.6666666666666666	18	0.21052631578947367	0.4262295081967213
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	11	0.35769444678444484	1	0.10443037974683544	0.75	8	0.21224489795918366	0.6666666666666666	8	0.21224489795918366	0.4262295081967213
